,city,state,city_size,mode,n,percent,moe,state_abb,state_region
0,Aberdeen,South Dakota,Small,Bike,110,0.8,0.5,SD,North Central
1,Acworth,Georgia,Small,Bike,0,0.0,0.4,GA,South
2,Addison,Illinois,Small,Bike,43,0.2,0.3,IL,North Central
3,Adelanto,California,Small,Bike,0,0.0,0.5,CA,West
4,Adrian,Michigan,Small,Bike,121,1.5,1.0,MI,North Central
5,Agawam Town,Massachusetts,Small,Bike,0,0.0,0.2,MA,Northeast
6,Agoura Hills,California,Small,Bike,84,0.8,1.1,CA,West
7,Aiken,South Carolina,Small,Bike,23,0.2,0.3,SC,South
8,Alabaster,Alabama,Small,Bike,0,0.0,0.2,AL,South
9,Alameda,California,Small,Bike,576,1.5,0.4,CA,West
10,Alamogordo,New Mexico,Small,Bike,35,0.3,0.2,NM,West
11,Albany,Georgia,Small,Bike,77,0.3,0.2,GA,South
12,Albany,New York,Small,Bike,419,0.9,0.3,NY,Northeast
13,Albany,Oregon,Small,Bike,281,1.3,0.6,OR,West
14,Albertville,Alabama,Small,Bike,2,0.0,0.1,AL,South
15,Alexandria,Louisiana,Small,Bike,100,0.5,0.3,LA,South
16,Algonquin,Illinois,Small,Bike,109,0.7,0.6,IL,North Central
17,Alhambra,California,Small,Bike,198,0.5,0.2,CA,West
18,Aliso Viejo,California,Small,Bike,85,0.3,0.2,CA,West
19,Allen,Texas,Small,Bike,21,0.0,0.1,TX,South
20,Allen Park,Michigan,Small,Bike,55,0.5,0.4,MI,North Central
21,Alliance,Ohio,Small,Bike,19,0.2,0.2,OH,North Central
22,Alpharetta,Georgia,Small,Bike,0,0.0,0.1,GA,South
23,Altamonte Springs,Florida,Small,Bike,282,1.3,0.7,FL,South
24,Alton,Illinois,Small,Bike,10,0.1,0.1,IL,North Central
25,Altoona,Pennsylvania,Small,Bike,33,0.2,0.2,PA,Northeast
26,Alvin,Texas,Small,Bike,127,1.2,0.7,TX,South
27,American Fork,Utah,Small,Bike,32,0.3,0.3,UT,West
28,Ames,Iowa,Small,Bike,808,2.5,0.6,IA,North Central
29,Anderson,Indiana,Small,Bike,96,0.4,0.2,IN,North Central
30,Anderson,South Carolina,Small,Bike,10,0.1,0.2,SC,South
31,Andover,Minnesota,Small,Bike,22,0.1,0.2,MN,North Central
32,Ankeny,Iowa,Small,Bike,52,0.2,0.2,IA,North Central
33,Annapolis,Maryland,Small,Bike,41,0.2,0.2,MD,South
34,Anniston,Alabama,Small,Bike,12,0.1,0.2,AL,South
35,Apache Junction,Arizona,Small,Bike,71,0.6,0.6,AZ,West
36,Apex,North Carolina,Small,Bike,0,0.0,0.2,NC,South
37,Apopka,Florida,Small,Bike,79,0.4,0.4,FL,South
38,Apple Valley,Minnesota,Small,Bike,79,0.3,0.2,MN,North Central
39,Apple Valley,California,Small,Bike,21,0.1,0.1,CA,West
40,Appleton,Wisconsin,Small,Bike,399,1.1,0.4,WI,North Central
41,Arcadia,California,Small,Bike,90,0.4,0.2,CA,West
42,Ardmore,Oklahoma,Small,Bike,19,0.2,0.3,OK,South
43,Arlington Heights,Illinois,Small,Bike,154,0.4,0.2,IL,North Central
44,Arnold,Missouri,Small,Bike,0,0.0,0.3,MO,North Central
45,Arvin,California,Small,Bike,0,0.0,0.6,CA,West
46,Asheboro,North Carolina,Small,Bike,10,0.1,0.2,NC,South
47,Asheville,North Carolina,Small,Bike,428,1.1,0.3,NC,South
48,Ashland,Kentucky,Small,Bike,0,0.0,0.4,KY,South
49,Ashland,Ohio,Small,Bike,49,0.6,0.4,OH,North Central
50,Ashland,Oregon,Small,Bike,560,6.2,1.9,OR,West
51,Atascadero,California,Small,Bike,58,0.4,0.4,CA,West
52,Athens,Alabama,Small,Bike,0,0.0,0.4,AL,South
53,Athens,Ohio,Small,Bike,208,2.2,0.9,OH,North Central
54,Atlantic City,New Jersey,Small,Bike,166,1.1,0.6,NJ,Northeast
55,Attleboro,Massachusetts,Small,Bike,39,0.2,0.2,MA,Northeast
56,Atwater,California,Small,Bike,18,0.2,0.2,CA,West
57,Auburn,Alabama,Small,Bike,475,2.0,0.5,AL,South
58,Auburn,Maine,Small,Bike,57,0.5,0.5,ME,Northeast
59,Auburn,New York,Small,Bike,54,0.4,0.4,NY,Northeast
60,Auburn,Washington,Small,Bike,97,0.3,0.2,WA,West
61,Auburn Hills,Michigan,Small,Bike,43,0.4,0.4,MI,North Central
62,Austin,Minnesota,Small,Bike,100,0.9,0.7,MN,North Central
63,Aventura,Florida,Small,Bike,0,0.0,0.3,FL,South
64,Avon,Ohio,Small,Bike,14,0.2,0.2,OH,North Central
65,Avon Lake,Ohio,Small,Bike,78,0.7,0.7,OH,North Central
66,Avondale,Arizona,Small,Bike,42,0.1,0.1,AZ,West
67,Azusa,California,Small,Bike,154,0.7,0.4,CA,West
68,Bainbridge Island,Washington,Small,Bike,194,1.9,0.9,WA,West
69,Balch Springs,Texas,Small,Bike,0,0.0,0.4,TX,South
70,Baldwin Park,California,Small,Bike,294,1.0,0.5,CA,West
71,Ballwin,Missouri,Small,Bike,0,0.0,0.2,MO,North Central
72,Bangor,Maine,Small,Bike,50,0.3,0.3,ME,Northeast
73,Banning,California,Small,Bike,47,0.5,0.5,CA,West
74,Barberton,Ohio,Small,Bike,8,0.1,0.1,OH,North Central
75,Barnstable Town,Massachusetts,Small,Bike,49,0.2,0.2,MA,Northeast
76,Barstow,California,Small,Bike,29,0.3,0.5,CA,West
77,Bartlesville,Oklahoma,Small,Bike,115,0.7,0.5,OK,South
78,Bartlett,Tennessee,Small,Bike,36,0.1,0.2,TN,South
79,Bartlett,Illinois,Small,Bike,28,0.1,0.1,IL,North Central
80,Batavia,Illinois,Small,Bike,47,0.4,0.4,IL,North Central
81,Battle Creek,Michigan,Small,Bike,61,0.3,0.2,MI,North Central
82,Bay City,Michigan,Small,Bike,158,1.1,0.6,MI,North Central
83,Bayonne,New Jersey,Small,Bike,71,0.2,0.2,NJ,Northeast
84,Baytown,Texas,Small,Bike,83,0.3,0.3,TX,South
85,Beaumont,California,Small,Bike,36,0.2,0.2,CA,West
86,Beavercreek,Ohio,Small,Bike,116,0.5,0.3,OH,North Central
87,Beaverton,Oregon,Small,Bike,564,1.3,0.4,OR,West
88,Bedford,Texas,Small,Bike,54,0.2,0.1,TX,South
89,Bell,California,Small,Bike,234,1.8,0.9,CA,West
90,Bell Gardens,California,Small,Bike,173,1.1,0.5,CA,West
91,Bella Vista,Arkansas,Small,Bike,0,0.0,0.3,AR,South
92,Belleville,Illinois,Small,Bike,100,0.5,0.3,IL,North Central
93,Bellevue,Nebraska,Small,Bike,31,0.1,0.1,NE,North Central
94,Bellflower,California,Small,Bike,177,0.6,0.3,CA,West
95,Bellingham,Washington,Small,Bike,1578,4.0,1.0,WA,West
96,Belmont,California,Small,Bike,42,0.3,0.3,CA,West
97,Beloit,Wisconsin,Small,Bike,86,0.6,0.4,WI,North Central
98,Belton,Missouri,Small,Bike,32,0.3,0.3,MO,North Central
99,Belvidere,Illinois,Small,Bike,40,0.4,0.6,IL,North Central
100,Benbrook,Texas,Small,Bike,42,0.4,0.4,TX,South
101,Bend,Oregon,Small,Bike,844,2.3,0.7,OR,West
102,Benicia,California,Small,Bike,90,0.7,0.6,CA,West
103,Benton,Arkansas,Small,Bike,0,0.0,0.2,AR,South
104,Bentonville,Arkansas,Small,Bike,24,0.1,0.2,AR,South
105,Bergenfield,New Jersey,Small,Bike,39,0.3,0.2,NJ,Northeast
106,Berwyn,Illinois,Small,Bike,45,0.2,0.2,IL,North Central
107,Bessemer,Alabama,Small,Bike,0,0.0,0.3,AL,South
108,Bethel Park municipality,Pennsylvania,Small,Bike,7,0.0,0.1,PA,Northeast
109,Bethlehem,Pennsylvania,Small,Bike,84,0.3,0.1,PA,Northeast
110,Bettendorf,Iowa,Small,Bike,34,0.2,0.2,IA,North Central
111,Beverly,Massachusetts,Small,Bike,57,0.3,0.2,MA,Northeast
112,Beverly Hills,California,Small,Bike,87,0.5,0.5,CA,West
113,Biddeford,Maine,Small,Bike,88,0.8,0.6,ME,Northeast
114,Big Spring,Texas,Small,Bike,33,0.4,0.4,TX,South
115,Biloxi,Mississippi,Small,Bike,88,0.4,0.3,MS,South
116,Binghamton,New York,Small,Bike,208,1.1,0.6,NY,Northeast
117,Birmingham,Michigan,Small,Bike,21,0.2,0.3,MI,North Central
118,Bismarck,North Dakota,Small,Bike,271,0.8,0.3,ND,North Central
119,Bixby,Oklahoma,Small,Bike,22,0.2,0.3,OK,South
120,Blacksburg,Virginia,Small,Bike,531,3.1,1.0,VA,South
121,Blaine,Minnesota,Small,Bike,30,0.1,0.1,MN,North Central
122,Bloomingdale,Illinois,Small,Bike,0,0.0,0.3,IL,North Central
123,Bloomington,Illinois,Small,Bike,205,0.5,0.2,IL,North Central
124,Bloomington,Indiana,Small,Bike,1260,3.6,0.7,IN,North Central
125,Bloomington,Minnesota,Small,Bike,239,0.6,0.2,MN,North Central
126,Blue Island,Illinois,Small,Bike,12,0.1,0.2,IL,North Central
127,Blue Springs,Missouri,Small,Bike,52,0.2,0.3,MO,North Central
128,Blythe,California,Small,Bike,12,0.2,0.3,CA,West
129,Boca Raton,Florida,Small,Bike,438,1.1,0.5,FL,South
130,Bolingbrook,Illinois,Small,Bike,27,0.1,0.1,IL,North Central
131,Bonita Springs,Florida,Small,Bike,150,0.9,0.6,FL,South
132,Bossier City,Louisiana,Small,Bike,101,0.3,0.2,LA,South
133,Bothell,Washington,Small,Bike,204,1.2,0.7,WA,West
134,Bountiful,Utah,Small,Bike,44,0.2,0.2,UT,West
135,Bowie,Maryland,Small,Bike,25,0.1,0.1,MD,South
136,Bowling Green,Kentucky,Small,Bike,127,0.5,0.3,KY,South
137,Bowling Green,Ohio,Small,Bike,226,1.5,0.7,OH,North Central
138,Boynton Beach,Florida,Small,Bike,187,0.6,0.3,FL,South
139,Bozeman,Montana,Small,Bike,1185,5.8,1.2,MT,West
140,Bradenton,Florida,Small,Bike,151,0.7,0.5,FL,South
141,Braintree Town,Massachusetts,Small,Bike,29,0.2,0.2,MA,Northeast
142,Brandon,Mississippi,Small,Bike,10,0.1,0.1,MS,South
143,Brawley,California,Small,Bike,22,0.3,0.4,CA,West
144,Brea,California,Small,Bike,73,0.4,0.3,CA,West
145,Bremerton,Washington,Small,Bike,221,1.2,0.6,WA,West
146,Brentwood,California,Small,Bike,11,0.1,0.1,CA,West
147,Brentwood,Tennessee,Small,Bike,10,0.1,0.1,TN,South
148,Bridgeton,New Jersey,Small,Bike,3,0.0,0.1,NJ,Northeast
149,Brighton,Colorado,Small,Bike,34,0.2,0.2,CO,West
150,Bristol,Connecticut,Small,Bike,36,0.1,0.1,CT,Northeast
151,Bristol,Tennessee,Small,Bike,15,0.1,0.2,TN,South
152,Brockton,Massachusetts,Small,Bike,98,0.2,0.2,MA,Northeast
153,Brookfield,Wisconsin,Small,Bike,33,0.2,0.2,WI,North Central
154,Brookings,South Dakota,Small,Bike,454,3.7,1.7,SD,North Central
155,Brooklyn Center,Minnesota,Small,Bike,147,1.1,0.7,MN,North Central
156,Brooklyn Park,Minnesota,Small,Bike,53,0.1,0.1,MN,North Central
157,Broomfield,Colorado,Small,Bike,218,0.7,0.4,CO,West
158,Brownsburg,Indiana,Small,Bike,0,0.0,0.3,IN,North Central
159,Brunswick,Ohio,Small,Bike,12,0.1,0.1,OH,North Central
160,Bryan,Texas,Small,Bike,454,1.3,0.6,TX,South
161,Buckeye,Arizona,Small,Bike,27,0.1,0.2,AZ,West
162,Buena Park,California,Small,Bike,453,1.3,0.7,CA,West
163,Buffalo Grove,Illinois,Small,Bike,114,0.5,0.3,IL,North Central
164,Bullhead City,Arizona,Small,Bike,0,0.0,0.3,AZ,West
165,Burbank,Illinois,Small,Bike,59,0.5,0.4,IL,North Central
166,Burien,Washington,Small,Bike,51,0.3,0.2,WA,West
167,Burleson,Texas,Small,Bike,73,0.4,0.4,TX,South
168,Burlingame,California,Small,Bike,126,0.9,0.6,CA,West
169,Burlington,Iowa,Small,Bike,98,0.9,0.9,IA,North Central
170,Burlington,North Carolina,Small,Bike,0,0.0,0.2,NC,South
171,Burlington,Vermont,Small,Bike,1101,5.0,1.2,VT,Northeast
172,Burnsville,Minnesota,Small,Bike,127,0.4,0.3,MN,North Central
173,Burton,Michigan,Small,Bike,14,0.1,0.2,MI,North Central
174,Butte-Silver Bow (balance),Montana,Small,Bike,42,0.3,0.4,MT,West
175,Cabot,Arkansas,Small,Bike,0,0.0,0.3,AR,South
176,Calabasas,California,Small,Bike,0,0.0,0.4,CA,West
177,Caldwell,Idaho,Small,Bike,52,0.3,0.3,ID,West
178,Caledonia,Wisconsin,Small,Bike,26,0.2,0.2,WI,North Central
179,Calexico,California,Small,Bike,60,0.5,0.6,CA,West
180,Calumet City,Illinois,Small,Bike,74,0.5,0.6,IL,North Central
181,Camarillo,California,Small,Bike,156,0.5,0.3,CA,West
182,Camas,Washington,Small,Bike,64,0.8,0.5,WA,West
183,Camden,New Jersey,Small,Bike,84,0.4,0.4,NJ,Northeast
184,Campbell,California,Small,Bike,432,2.0,1.0,CA,West
185,Canton,Georgia,Small,Bike,0,0.0,0.4,GA,South
186,Canton,Ohio,Small,Bike,58,0.2,0.1,OH,North Central
187,Cape Girardeau,Missouri,Small,Bike,128,0.7,0.8,MO,North Central
188,Carbondale,Illinois,Small,Bike,381,3.6,1.2,IL,North Central
189,Carlsbad,New Mexico,Small,Bike,0,0.0,0.3,NM,West
190,Carmel,Indiana,Small,Bike,137,0.3,0.2,IN,North Central
191,Carol Stream,Illinois,Small,Bike,66,0.3,0.4,IL,North Central
192,Carpentersville,Illinois,Small,Bike,7,0.0,0.1,IL,North Central
193,Carrboro,North Carolina,Small,Bike,605,5.3,2.1,NC,South
194,Carrollton,Georgia,Small,Bike,43,0.5,0.4,GA,South
195,Carson,California,Small,Bike,85,0.2,0.2,CA,West
196,Carson City,Nevada,Small,Bike,261,1.1,0.6,NV,West
197,Carteret,New Jersey,Small,Bike,61,0.6,0.6,NJ,Northeast
198,Casa Grande,Arizona,Small,Bike,48,0.3,0.2,AZ,West
199,Casper,Wyoming,Small,Bike,195,0.7,0.3,WY,West
200,Casselberry,Florida,Small,Bike,72,0.6,0.5,FL,South
201,Castle Rock,Colorado,Small,Bike,18,0.1,0.1,CO,West
202,Cathedral City,California,Small,Bike,50,0.2,0.2,CA,West
203,Cedar City,Utah,Small,Bike,117,1.0,0.5,UT,West
204,Cedar Falls,Iowa,Small,Bike,146,0.7,0.4,IA,North Central
205,Cedar Hill,Texas,Small,Bike,19,0.1,0.1,TX,South
206,Cedar Park,Texas,Small,Bike,42,0.2,0.2,TX,South
207,Centerville,Ohio,Small,Bike,3,0.0,4.1,OH,North Central
208,Central,Louisiana,Small,Bike,0,0.0,0.3,LA,South
209,Ceres,California,Small,Bike,78,0.5,0.6,CA,West
210,Cerritos,California,Small,Bike,35,0.2,0.2,CA,West
211,Chambersburg,Pennsylvania,Small,Bike,28,0.3,0.4,PA,Northeast
212,Champaign,Illinois,Small,Bike,1075,2.7,0.6,IL,North Central
213,Champlin,Minnesota,Small,Bike,52,0.4,0.3,MN,North Central
214,Chanhassen,Minnesota,Small,Bike,35,0.3,0.4,MN,North Central
215,Chapel Hill,North Carolina,Small,Bike,583,2.2,0.5,NC,South
216,Charleston,Illinois,Small,Bike,110,1.1,0.7,IL,North Central
217,Charleston,West Virginia,Small,Bike,49,0.2,0.1,WV,South
218,Charlottesville,Virginia,Small,Bike,753,3.7,0.9,VA,South
219,Chaska,Minnesota,Small,Bike,24,0.2,0.2,MN,North Central
220,Chelsea,Massachusetts,Small,Bike,136,0.8,0.6,MA,Northeast
221,Chester,Pennsylvania,Small,Bike,104,0.9,0.8,PA,Northeast
222,Chesterfield,Missouri,Small,Bike,14,0.1,0.1,MO,North Central
223,Cheyenne,Wyoming,Small,Bike,207,0.7,0.3,WY,West
224,Chicago Heights,Illinois,Small,Bike,99,0.9,0.8,IL,North Central
225,Chico,California,Small,Bike,2239,5.8,1.0,CA,West
226,Chicopee,Massachusetts,Small,Bike,129,0.5,0.6,MA,Northeast
227,Chillicothe,Ohio,Small,Bike,14,0.2,0.2,OH,North Central
228,Chino,California,Small,Bike,97,0.3,0.2,CA,West
229,Chino Hills,California,Small,Bike,206,0.6,0.7,CA,West
230,Christiansburg,Virginia,Small,Bike,0,0.0,0.3,VA,South
231,Cicero,Illinois,Small,Bike,312,0.9,0.5,IL,North Central
232,Citrus Heights,California,Small,Bike,137,0.4,0.2,CA,West
233,Claremont,California,Small,Bike,296,2.0,0.7,CA,West
234,Clarksville,Indiana,Small,Bike,27,0.3,0.3,IN,North Central
235,Clearfield,Utah,Small,Bike,39,0.3,0.3,UT,West
236,Cleburne,Texas,Small,Bike,0,0.0,0.3,TX,South
237,Clermont,Florida,Small,Bike,18,0.2,0.2,FL,South
238,Cleveland,Tennessee,Small,Bike,51,0.3,0.3,TN,South
239,Cleveland Heights,Ohio,Small,Bike,197,0.9,0.3,OH,North Central
240,Cliffside Park,New Jersey,Small,Bike,39,0.3,0.3,NJ,Northeast
241,Clifton,New Jersey,Small,Bike,59,0.1,0.2,NJ,Northeast
242,Clinton,Iowa,Small,Bike,58,0.5,0.4,IA,North Central
243,Clinton,Mississippi,Small,Bike,0,0.0,0.3,MS,South
244,Clinton,Utah,Small,Bike,13,0.1,0.2,UT,West
245,Clovis,California,Small,Bike,156,0.4,0.2,CA,West
246,Clovis,New Mexico,Small,Bike,58,0.4,0.3,NM,West
247,Coachella,California,Small,Bike,15,0.1,0.2,CA,West
248,Coconut Creek,Florida,Small,Bike,110,0.4,0.3,FL,South
249,Coeur d'Alene,Idaho,Small,Bike,191,0.9,0.5,ID,West
250,College Park,Maryland,Small,Bike,433,3.3,1.2,MD,South
251,College Station,Texas,Small,Bike,1126,2.6,0.5,TX,South
252,Colleyville,Texas,Small,Bike,25,0.2,0.3,TX,South
253,Collierville,Tennessee,Small,Bike,5,0.0,0.1,TN,South
254,Collinsville,Illinois,Small,Bike,31,0.3,0.3,IL,North Central
255,Colton,California,Small,Bike,133,0.6,0.6,CA,West
256,Columbia,Tennessee,Small,Bike,54,0.4,0.5,TN,South
257,Columbus,Indiana,Small,Bike,99,0.5,0.2,IN,North Central
258,Columbus,Mississippi,Small,Bike,5,0.1,0.1,MS,South
259,Columbus,Nebraska,Small,Bike,52,0.5,0.5,NE,North Central
260,Commerce City,Colorado,Small,Bike,10,0.0,0.1,CO,West
261,Compton,California,Small,Bike,154,0.5,0.2,CA,West
262,Concord,New Hampshire,Small,Bike,93,0.4,0.3,NH,Northeast
263,Concord,North Carolina,Small,Bike,34,0.1,0.1,NC,South
264,Conroe,Texas,Small,Bike,126,0.5,0.5,TX,South
265,Conway,Arkansas,Small,Bike,104,0.4,0.2,AR,South
266,Cookeville,Tennessee,Small,Bike,34,0.3,0.3,TN,South
267,Coon Rapids,Minnesota,Small,Bike,101,0.3,0.2,MN,North Central
268,Cooper City,Florida,Small,Bike,16,0.1,0.1,FL,South
269,Coppell,Texas,Small,Bike,9,0.0,0.1,TX,South
270,Copperas Cove,Texas,Small,Bike,25,0.2,0.2,TX,South
271,Coral Gables,Florida,Small,Bike,144,0.7,0.5,FL,South
272,Corcoran,California,Small,Bike,52,1.3,1.1,CA,West
273,Corinth,Texas,Small,Bike,23,0.2,0.4,TX,South
274,Cornelius,North Carolina,Small,Bike,7,0.1,0.1,NC,South
275,Coronado,California,Small,Bike,527,4.8,1.3,CA,West
276,Corsicana,Texas,Small,Bike,31,0.3,0.4,TX,South
277,Corvallis,Oregon,Small,Bike,2804,11.2,1.5,OR,West
278,Cottage Grove,Minnesota,Small,Bike,64,0.4,0.3,MN,North Central
279,Cottonwood Heights,Utah,Small,Bike,49,0.3,0.2,UT,West
280,Council Bluffs,Iowa,Small,Bike,132,0.4,0.2,IA,North Central
281,Covina,California,Small,Bike,134,0.6,0.4,CA,West
282,Covington,Kentucky,Small,Bike,50,0.3,0.3,KY,South
283,Cranston,Rhode Island,Small,Bike,92,0.3,0.2,RI,Northeast
284,Crest Hill,Illinois,Small,Bike,0,0.0,0.3,IL,North Central
285,Crestview,Florida,Small,Bike,11,0.1,0.2,FL,South
286,Crown Point,Indiana,Small,Bike,0,0.0,0.2,IN,North Central
287,Crystal,Minnesota,Small,Bike,9,0.1,0.1,MN,North Central
288,Crystal Lake,Illinois,Small,Bike,0,0.0,0.1,IL,North Central
289,Cudahy,California,Small,Bike,74,0.8,0.8,CA,West
290,Culver City,California,Small,Bike,219,1.1,0.5,CA,West
291,Cumberland,Maryland,Small,Bike,0,0.0,0.4,MD,South
292,Cupertino,California,Small,Bike,221,0.9,0.5,CA,West
293,Cutler Bay,Florida,Small,Bike,28,0.2,0.2,FL,South
294,Cuyahoga Falls,Ohio,Small,Bike,56,0.2,0.3,OH,North Central
295,Cypress,California,Small,Bike,168,0.7,0.4,CA,West
296,Dalton,Georgia,Small,Bike,29,0.2,0.3,GA,South
297,Dana Point,California,Small,Bike,75,0.4,0.3,CA,West
298,Danbury,Connecticut,Small,Bike,51,0.1,0.1,CT,Northeast
299,Dania Beach,Florida,Small,Bike,102,0.7,0.5,FL,South
300,Danville,Illinois,Small,Bike,28,0.2,0.2,IL,North Central
301,Danville,Virginia,Small,Bike,33,0.2,0.1,VA,South
302,Danville,California,Small,Bike,29,0.2,0.2,CA,West
303,Daphne,Alabama,Small,Bike,91,0.9,1.3,AL,South
304,Darien,Illinois,Small,Bike,30,0.3,0.3,IL,North Central
305,Davie,Florida,Small,Bike,216,0.5,0.3,FL,South
306,Davis,California,Small,Bike,5691,18.6,1.8,CA,West
307,Daytona Beach,Florida,Small,Bike,429,1.9,0.7,FL,South
308,De Pere,Wisconsin,Small,Bike,75,0.6,0.4,WI,North Central
309,Dearborn,Michigan,Small,Bike,110,0.3,0.1,MI,North Central
310,Dearborn Heights,Michigan,Small,Bike,32,0.2,0.2,MI,North Central
311,Decatur,Alabama,Small,Bike,0,0.0,0.1,AL,South
312,Decatur,Illinois,Small,Bike,54,0.2,0.1,IL,North Central
313,Deer Park,Texas,Small,Bike,65,0.4,0.5,TX,South
314,Deerfield Beach,Florida,Small,Bike,306,0.9,0.4,FL,South
315,DeKalb,Illinois,Small,Bike,301,1.5,0.6,IL,North Central
316,Del City,Oklahoma,Small,Bike,0,0.0,0.3,OK,South
317,Del Rio,Texas,Small,Bike,125,0.9,0.5,TX,South
318,DeLand,Florida,Small,Bike,159,1.6,1.2,FL,South
319,Delano,California,Small,Bike,41,0.3,0.4,CA,West
320,Delaware,Ohio,Small,Bike,46,0.3,0.2,OH,North Central
321,Delray Beach,Florida,Small,Bike,188,0.7,0.4,FL,South
322,Deltona,Florida,Small,Bike,58,0.2,0.2,FL,South
323,Denison,Texas,Small,Bike,34,0.4,0.4,TX,South
324,Derby,Kansas,Small,Bike,9,0.1,0.1,KS,North Central
325,Des Moines,Washington,Small,Bike,24,0.2,0.3,WA,West
326,Des Plaines,Illinois,Small,Bike,167,0.6,0.3,IL,North Central
327,Desert Hot Springs,California,Small,Bike,0,0.0,0.4,CA,West
328,DeSoto,Texas,Small,Bike,0,0.0,0.2,TX,South
329,Diamond Bar,California,Small,Bike,7,0.0,0.1,CA,West
330,Dinuba,California,Small,Bike,14,0.2,0.3,CA,West
331,Dodge City,Kansas,Small,Bike,42,0.3,0.3,KS,North Central
332,Dolton,Illinois,Small,Bike,0,0.0,0.3,IL,North Central
333,Doral,Florida,Small,Bike,5,0.0,0.1,FL,South
334,Dothan,Alabama,Small,Bike,51,0.2,0.1,AL,South
335,Douglasville,Georgia,Small,Bike,1,0.0,0.1,GA,South
336,Dover,Delaware,Small,Bike,12,0.1,0.1,DE,South
337,Dover,New Hampshire,Small,Bike,43,0.3,0.3,NH,Northeast
338,Downers Grove,Illinois,Small,Bike,176,0.7,0.4,IL,North Central
339,Draper,Utah,Small,Bike,35,0.2,0.2,UT,West
340,Duarte,California,Small,Bike,14,0.2,0.2,CA,West
341,Dublin,California,Small,Bike,69,0.3,0.2,CA,West
342,Dublin,Ohio,Small,Bike,16,0.1,0.1,OH,North Central
343,Dubuque,Iowa,Small,Bike,43,0.1,0.1,IA,North Central
344,Duluth,Georgia,Small,Bike,0,0.0,0.3,GA,South
345,Duluth,Minnesota,Small,Bike,343,0.8,0.3,MN,North Central
346,Duncan,Oklahoma,Small,Bike,18,0.2,0.3,OK,South
347,Duncanville,Texas,Small,Bike,14,0.1,0.1,TX,South
348,Dunedin,Florida,Small,Bike,296,1.9,0.8,FL,South
349,Dunwoody,Georgia,Small,Bike,32,0.1,0.2,GA,South
350,Eagan,Minnesota,Small,Bike,128,0.4,0.2,MN,North Central
351,Eagle,Idaho,Small,Bike,48,0.6,0.5,ID,West
352,Eagle Mountain,Utah,Small,Bike,0,0.0,0.4,UT,West
353,Eagle Pass,Texas,Small,Bike,11,0.1,0.2,TX,South
354,Easley,South Carolina,Small,Bike,11,0.1,0.2,SC,South
355,East Chicago,Indiana,Small,Bike,0,0.0,0.3,IN,North Central
356,East Lansing,Michigan,Small,Bike,1374,6.8,1.2,MI,North Central
357,East Moline,Illinois,Small,Bike,0,0.0,0.3,IL,North Central
358,East Orange,New Jersey,Small,Bike,17,0.1,0.1,NJ,Northeast
359,East Palo Alto,California,Small,Bike,440,3.6,3.6,CA,West
360,East Peoria,Illinois,Small,Bike,0,0.0,0.3,IL,North Central
361,East Point,Georgia,Small,Bike,45,0.3,0.4,GA,South
362,East Providence,Rhode Island,Small,Bike,78,0.4,0.3,RI,Northeast
363,East Ridge,Tennessee,Small,Bike,3,0.0,0.1,TN,South
364,East St. Louis,Illinois,Small,Bike,48,0.6,0.5,IL,North Central
365,Easton,Pennsylvania,Small,Bike,25,0.2,0.2,PA,Northeast
366,Eastpointe,Michigan,Small,Bike,0,0.0,0.2,MI,North Central
367,Eastvale,California,Small,Bike,45,0.2,0.3,CA,West
368,Eau Claire,Wisconsin,Small,Bike,389,1.1,0.3,WI,North Central
369,Eden Prairie,Minnesota,Small,Bike,117,0.4,0.4,MN,North Central
370,Edgewater,Florida,Small,Bike,82,0.9,0.9,FL,South
371,Edina,Minnesota,Small,Bike,220,1.0,0.5,MN,North Central
372,Edinburg,Texas,Small,Bike,90,0.3,0.2,TX,South
373,Edmond,Oklahoma,Small,Bike,106,0.3,0.1,OK,South
374,Edmonds,Washington,Small,Bike,54,0.3,0.2,WA,West
375,Edwardsville,Illinois,Small,Bike,54,0.4,0.4,IL,North Central
376,El Centro,California,Small,Bike,54,0.4,0.4,CA,West
377,El Cerrito,California,Small,Bike,263,2.2,0.7,CA,West
378,El Mirage,Arizona,Small,Bike,23,0.2,0.2,AZ,West
379,El Paso de Robles (Paso Robles),Ca,Small,Bike,71,0.5,0.4,,
380,Elizabethtown,Kentucky,Small,Bike,0,0.0,0.3,KY,South
381,Elk Grove Village,Illinois,Small,Bike,22,0.1,0.2,IL,North Central
382,Elk River,Minnesota,Small,Bike,26,0.2,0.2,MN,North Central
383,Elkhart,Indiana,Small,Bike,262,1.3,0.6,IN,North Central
384,Elmhurst,Illinois,Small,Bike,46,0.2,0.2,IL,North Central
385,Elmira,New York,Small,Bike,56,0.5,0.3,NY,Northeast
386,Elmwood Park,Illinois,Small,Bike,20,0.2,0.2,IL,North Central
387,Elyria,Ohio,Small,Bike,104,0.4,0.3,OH,North Central
388,Emporia,Kansas,Small,Bike,60,0.5,0.5,KS,North Central
389,Encinitas,California,Small,Bike,470,1.6,0.5,CA,West
390,Englewood,Colorado,Small,Bike,210,1.3,0.7,CO,West
391,Englewood,New Jersey,Small,Bike,35,0.3,0.3,NJ,Northeast
392,Enid,Oklahoma,Small,Bike,28,0.1,0.1,OK,South
